1. 失血性休克的“5P”临床表现不正确的是
2292. 右小腿急性疏松结缔组织炎，经抗炎、患肢抬高及湿敷，炎症继续向上蔓延波及整个下肢，WBC 25×10<sup>9</sup>/L， 中性粒细胞90%，体温39.5℃，脉搏120次/分，最佳治疗措施是
   A. 更换抗生素种类
   B. 局部理疗
   C. 加强全身支持疗法
 ->D. 广泛多处减张切开
   E. 少量多次输新鲜血

2293. 上消化道出血行急诊内镜检查的时间是
   A. 4～6小时
   B. 12～24小时
 ->C. 24～48小时
   D. 36～48小时
   E. 48～72小时

2294. 淋巴结中能提呈抗原的细胞有
   A. B淋巴细胞和T淋巴细胞
   B. T细胞和巨噬细胞
   C. 巨噬细胞
 ->D. 巨噬细胞和树突状细胞
   E. 淋巴细胞和巨噬细胞

2295. 某人在烈日下工作2小时后出现头昏、头痛、口渴、多汗、乏力、心悸等症状，血压90/60 mmHg，处置最佳的方式为
   A. 立即将患者放在阴凉通风处
   B. 冰水浸浴30分钟
   C. 口服含盐清凉饮料
 ->D. 静脉滴注葡萄糖盐水
   E. 快速静脉滴入甘露醇

2296. 因长期、大量使用广谱抗生素引起的细菌性腹泻多属于
   A. 食物中毒
   B. 细菌性痢疾
   C. 过敏性反应
 ->D. 菌群失调症
   E. 炎症

2297. 下列关于握力测量，错误的说法是
   A. 可以间接反映营养状态
 ->B. 是评价受试者肌肉最大动力的力量状况
   C. 主要反映前臂和手部肌肉力量
   D. 上肢骨折未愈时禁用
   E. 严重心肺疾病患者慎用

2298. 急性左心衰竭与支气管哮喘发作时均出现严重呼吸困难，两者主要鉴别点是
   A. 前者为夜间突发的呼吸困难
   B. 后者伴发绀
 ->C. 前者坐位可改善呼吸困难
   D. 前者血压增高
   E. 前者肺部可闻及干、湿性啰音

2299. 心脏性猝死最主要的原因是
   A. 二尖瓣脱垂
   B. 心肌病
   C. 主动脉瓣狭窄
 ->D. 冠心病及其并发症
   E. 急性心肌炎
解析：绝大多数心脏性猝死发生在有器质性心脏病的患者，约80%由冠心病及其并发症引起。

2300. 关于多发伤抢救时机正确的是
   A. 严重创伤6小时内的及时救治对预后有重大意义
   B. 严重创伤3小时内的及时救治对预后有重大意义
   C. 严重创伤2小时内的及时救治对预后有重大意义
 ->D. 严重创伤1小时内的及时救治对预后有重大意义
   E. 严重创伤0.5小时内的及时救治对预后有重大意义

2301. 休克代偿期的血压变化是
   A. 收缩压降低，脉压变小
 ->B. 收缩压在正常范围或稍升高，脉压变小
   C. 舒张压降低，脉压变大
   D. 舒张压在正常范围或稍升高，脉压变小
   E. 收缩压及舒张压都增高
解析：休克代偿期机体短暂通过收缩静脉血管床等起到“自身输血”“自身输液”的作用及儿茶酚胺类物质的作用使收缩压稍高，脉压减小。故A选项错误。休克代偿期机体短暂通过收缩静脉血管床等起到“自身输血”“自身输液”的作用及儿茶酚胺类物质的作用使收缩压稍高，脉压减小。故B选项正确。休克代偿期机体短暂通过收缩静脉血管床等起到“自身输血”“自身输液”的作用及儿茶酚胺类物质的作用使收缩压稍高，脉压减小。故C选项错误。休克代偿期机体短暂通过收缩静脉血管床等起到“自身输血”“自身输液”的作用及儿茶酚胺类物质的作用使收缩压稍高，脉压减小。故D选项错误。休克代偿期机体短暂通过收缩静脉血管床等起到“自身输血”“自身输液”的作用及儿茶酚胺类物质的作用使收缩压稍高，脉压减小。故E选项错误。

2302. 自发性气胸的排气治疗，下列哪项正确
   A. 积气量少于该侧胸腔容量的30%，不抽气
   B. 积气量多时，应立即将气抽尽，恢复肺功能
   C. 积气量多时，应立即行闭式水封瓶式引流
   D. 积气量多时，可一日多次抽气，每次1L直至抽尽
 ->E. 积气量多时，可每日或隔日抽气一次，每次小于1000 ml

2303. 确诊CO中毒最主要的依据是
   A. 空气中CO的浓度
   B. 与CO接触的时间
 ->C. 血液中碳氧血红蛋白的有无
   D. 昏迷的深度
   E. 缺氧的程度

2304. 临床上心肺复苏成功患者，发生脑缺血4～6分钟后导致脑组织不可逆病变，究其原因主要与脑再灌缺失有关，其再灌注缺乏的原因错误的是
   A. 颅内压增高
   B. 血-脑屏障的破坏
   C. 脑血管内微小物质沉积及脑缺氧改变
   D. 钙代谢失调
 ->E. 以上都不正确

2305. 下列哪种情况不需要行支气管肺泡灌洗术
   A. 重症呼吸道感染的病原学诊断与治疗
   B. 肺不张、吸入性肺炎清除气道内分泌物或异物
   C. 气道分泌物病原学检查
   D. 肺泡蛋白沉着症
 ->E. 急性肺水肿

2306. 以下哪项是循环功能障碍的病理生理学说
   A. 内环境紊乱学说
   B. 缺氧学说
 ->C. 炎症反应与多器官功能衰竭学说
   D. 肠内细菌移位学说
   E. 凝血功能障碍学说

2307. 一中年男性患者因急性阑尾炎住院治疗，手术后，主管医生为了使患者尽快恢复，给患者使用了一种比较贵的新型抗生素。但并没有同患者商量。患者恢复很快，几天后就可出院。出院时，患者发现自己需付上千元的药费，认为医生没有告诉自己而擅自做主，自己不应该负担这笔钱。在这个案例中，医生损害了患者的哪个权利
 ->A. 知情同意权
   B. 疾病的认知权
   C. 平等的医疗权
   D. 要求保护隐私权
   E. 病人的参与权

2308. 血清学实验的前带现象是指
 ->A. 抗体过量
   B. 抗原过量
   C. 凝集明显
   D. 沉淀物显著
   E. 溶血明显

2309. 不属于输血相关性传染病的是
   A. 乙型肝炎
   B. 梅毒
   C. 巨细胞病毒感染
 ->D. 甲型肝炎
   E. 丙型肝炎

2310. 热痉挛出现阵发性、对称性痉挛最常见的部位为
   A. 背阔肌
   B. 咀嚼肌
   C. 腹直肌
 ->D. 腓肠肌
   E. 胸大肌

2311. 支气管哮喘属于下列哪型变态反应
 ->A. I型超敏反应
   B. Ⅱ型超敏反应
   C. Ⅲ型超敏反应
   D. Ⅳ型超敏反应
   E. 上述选项均不对

2312. 以下是慢性阻塞性肺疾病的诊断依据，除外
   A. 咳嗽、咳痰或伴有喘息，每年发病持续3个月
   B. 连续2年或以上发病
   C. 支气管管壁增厚，细支气管或肺泡间质炎症细胞浸润或纤维化
 ->D. 肺部以湿啰音为主，多位于一侧且固定在下肺
   E. 慢性支气管炎急性发作时，可见白细胞及中性粒细胞增加，喘息型者嗜酸性粒细胞增加

2313. 以下哪项不是呼吸性酸中毒的病因
   A. 麻醉药使用过量
   B. 支气管痉挛
   C. COPD
   D. 胸腔积液
 ->E. 肺栓塞

2314. 下列哪一种心律失常听诊时心率和节律可正常
   A. 阵发性室上性心动过速
   B. 阵发性室性心动过速
 ->C. 心房扑动伴4：1传导
   D. 窦性心动过速
   E. 房颤

2315. 保持肠道屏障完整的最好方法是
   A. 补充谷氨酰胺
 ->B. 早期肠内营养
   C. 补充益生菌
   D. 肠道去污
   E. 使用抗酸药

2316. 关于肾衰竭指数描述，错误的是
   A. 肾前性肾衰竭指数一般<1
   B. 可区分肾前性肾衰竭和肾后性肾衰竭
   C. 急性肾小管坏死肾衰竭指数多>1
 ->D. 与血钠水平有关
   E. 肾后性肾衰竭指数多>1

2317. 脑脊液的产生部位是
   A. 硬膜
   B. 蛛网膜
   C. 上矢状窦
 ->D. 脉络丛
   E. 软膜

2318. 混合静脉血氧饱和度是使用何种导管监测
   A. 外周静脉管道
   B. 中心静脉导管
 ->C. 肺动脉导管
   D. 三腔静脉导管
   E. 手指氧饱和度

2319. 下列哪项不是卵巢分泌的激素
   A. 雌二醇
   B. 孕酮
 ->C. 促卵泡激素
   D. 雄激素
   E. 抑制素

2320. 不属于地西泮适应证的是
   A. 焦虑性失眠
   B. 麻醉前给药
   C. 高热惊厥
 ->D. 诱导麻醉
   E. 癫痫持续状态

2321. 慢性阻塞性肺病患者的血气分析结果为pH 7.38、PaCO<sub>2</sub> 81 mmHg，给予吸氧后，PaO<sub>2</sub>维持在多少较为合适
   A. 95 mmHg
   B. 85 mmHg
 ->C. 65 mmHg
   D. 50 mmHg
   E. 35 mmHg
解析：慢性高碳酸血症患者呼吸中枢的化学感受器对二氧化碳反应性差，呼吸主要靠低氧血症对颈动脉体、主动脉体化学感受器的刺激来维持。氧疗时维持PaO<sub>2</sub>在60～70 mmHg即可，避免高浓度氧抑制患者呼吸。

2322. 关于电击伤的叙述哪项不正确
 ->A. 高频交流电危害性较低频交流电为大
   B. 交流电的危害性较直流电为大
   C. 电流引起肌肉强烈收缩
   D. 电击伤引起心室颤动
   E. 电击伤累及脑干，呼吸、心跳迅速停止

2323. 通过横突孔的结构是
   A. 脊神经根
   B. 颈神经
   C. 颈动脉
 ->D. 椎动脉
   E. 迷走神经

2324. 颈椎损伤患者进行复苏时，错误的是
   A. 面朝下倒地患者，翻转患者过程中始终保持头颈部处于正中线位置
   B. 气道梗阻者，可采用仰头抬颏法或推头托颌法开放气道
   C. 保持头部固定于中线位置，最大限制减少头部移动
 ->D. 为防止误吸，应把头偏向一侧
   E. 有效维持气道开放和充分通气而不加重脊髓损伤

2325. 《症状患者侵袭性真菌感染的诊断与治疗指南》提到根据重症患者的实际情况选择抗真菌治疗，其内容不包括
   A. 预防治疗
 ->B. 降阶梯治疗
   C. 经验治疗
   D. 抢先治疗
   E. 目标性治疗

2326. 腹腔感染的结局取决于
   A. 患者自身的防御能力
   B. 污染细菌的性质、数量和时间
   C. 腹膜局部的防御能力
 ->D. 以上都是
   E. 以上都不是

2327. 缺氧对机体的影响不包括下列哪项
   A. 心肌对缺氧十分敏感，早期可表现为心率加快，心排血量增加
   B. 缺氧可抑制细胞能量代谢，引起代谢性酸中毒
 ->C. 缺氧时皮肤、胃肠血管收缩，而脑、肾、冠状动脉血管扩张以保证重要脏器氧供应
   D. 缺氧时能量不足引起钠泵失灵，导致细胞内水肿
   E. 缺氧可引起黄疸和消化道出血

2328. 有关应激性溃疡描述错误的是
   A. 本质是胃黏膜的缺血、缺氧，胃黏膜防御功能削弱所致
   B. 严重应激可致胃十二指肠黏膜毛细血管床血流分流至黏膜下层动-静脉短路使胃黏膜缺血
   C. 胃酸和胃蛋白酶作用加速胃黏膜区域性坏死
 ->D. 应激性溃疡大出血主要原因为溃疡基底部深
   E. 应激性溃疡大出血的原因主要是因为溃疡

2329. 男童，1岁2个月，查体发现昏迷，无发热，呼吸深，其母述患儿最近常想喝水，昨日起食欲差，呕吐。血气分析提示酸中毒，血糖仪提示患儿血糖高至测不出，下列处置哪项有误
   A. 0.9%生理盐水20 ml/kg
 ->B. 先做脑部CT
   C. 血糖＞33.3 mmol/L可给胰岛素
   D. 要测尿酮
   E. 予胰岛素剂量一般为0.1U/（kg·h）

2330. 抢救巴比妥类中毒所致呼吸衰竭的首措施是
   A. 呼吸兴奋剂的应用
   B. 洗胃
 ->C. 保持呼吸道通畅，人工辅助呼吸
   D. 激素的应用
   E. 利尿药物的应用

2331. 用于关节部位的绷带包扎方法是
   A. 环形包扎法
   B. 蛇形包扎法
   C. 螺旋形包扎法
   D. 螺旋反折法
 ->E. 8字形法

2332. 解释神经冲动沿神经纤维传导机制的学说是
   A. 跳跃式传导学说
 ->B. 局部电流学说
   C. 局部兴奋学说
   D. 膜的离子流学说
   E. 全或无学说

2333. 有淋巴组织的结构是
   A. 丝状乳头
   B. 菌状乳头
   C. 轮状乳头
   D. 叶状乳头
 ->E. 舌扁桃体

2334. 肺杆菌科不具有的是
   A. 鞭毛
   B. 菌毛
   C. 荚膜
 ->D. 芽孢
   E. 细胞膜

2335. 一患儿以肠梗阻入院手术。术中医师将膀胱认作囊肿切除，造成患儿储尿、排尿功能严重受损。该事件中，医师的行为属
   A. 意外事件
   B. 术中并发症
   C. 直接故意
   D. 间接故意
 ->E. 过失

2336. 滤过膜的主要滤过屏障是
   A. 肾小球毛细血管内皮细胞
 ->B. 基底膜
   C. 肾小囊脏层上皮细胞
   D. 肾小囊壁层上皮细胞
   E. 肾小球系膜细胞

2337. CH50主要检测的是
 ->A. 补体经典途径的溶血活性
   B. 补体替代途径的溶血活性
   C. 补体单个成分3的溶血活性
   D. 补体单个成分4的溶血活性
   E. 补体单个成分2的溶血活性

2338. 下列有关毛细血管渗漏综合征的说法不正确的是
 ->A. 促炎症细胞因子不参与毛细血管渗漏综合征的发生
   B. 在炎症介质作用下，毛细血管孔径增大，通透性增
   C. 释放的各种炎症介质，介导免疫反应，形成SIRS
   D. 氧自由基和血小板直接损伤血管内皮细胞，使血管通透性增高
   E. 最终将导致MODS

2339. 从动脉抽取血样后，如不与大气隔绝，下列哪一项指标测定结果将受影响
   A. SD
 ->B. AB
   C. BE
   D. BB
   E. BD

2340. 真菌孢子的主要作用是
   A. 抵抗不良环境的影响
   B. 抗吞噬
 ->C. 进行繁殖
   D. 引起炎症反应
   E. 引起变态反应

2341. 单纯左心衰竭的典型体征是
   A. 下垂性对称性水肿
   B. 肝颈静脉回流征阳性
 ->C. 双肺底闻及湿啰音
   D. 胸腔积液
   E. 颈静脉怒张
解析：左心衰竭时肺循环淤血，所以典型体征是双肺底闻及湿啰音，而其他体征均为右心衰竭引起体循环淤血所致。

2342. 对外伤性颅内血肿的诊断没有帮助的是
   A. CT
   B. MRI
   C. 脑血管造影
 ->D. 腰穿
   E. 开颅探查

2343. 结核菌素皮肤试验主要用于检测
   A. I型超敏反应
   B. Ⅱ型超敏反应
   C. Ⅲ型超敏反应
 ->D. Ⅳ型超敏反应
   E. 上述选项均不对

2344. 关于医学伦理监督，下列说法错误的是
   A. 最基本形式为社会舆论、内心信念和传统习俗
   B. 社会舆论是监督的客观形式
 ->C. 内心信念和传统习俗是监督的主观形式
   D. 社会舆论、内心信念和传统习俗是医德评价的有机整体
   E. 社会舆论、传统习俗是外在的医学伦理监督的有效方法

2345. 发生心跳骤停，必须在多长时间内重建循环和呼吸
 ->A. 4～6分钟
   B. 2～3分钟
   C. 11～12分钟
   D. 6～7分钟
   E. 20分钟以内

2346. 氧输送指数的正常值
   A. 115～165 ml/（分钟·m<sup>2</sup>）
   B. 300～450 ml/（分钟·m<sup>2</sup>）
 ->C. 550～650 ml/（分钟·m<sup>2</sup>）
   D. 650～800 ml/（分钟·m<sup>2</sup>）
   E. 800～1000 ml/（分钟·m<sup>2</sup>）

2347. 机械通气中，当流速－容积环呼气部分为锯齿样时提示
   A. 呼吸回路漏气
   B. 小气道阻塞
   C. 大气道阻塞
   D. 有PEEPi存在
 ->E. 回路内有积水或分泌物

2348. 肺结核咯血的机制为
   A. 肺淤血造成肺泡内膜毛细血管破裂
   B. 凝血因子消耗
   C. 支气管黏膜下层支气管静脉曲张破裂
 ->D. 毛细血管通透性增高，血液渗出
   E. 以上都是

2349. 下列颅脑损伤最急需处理的是
   A. 脑震荡
   B. 颅顶凹陷骨折超过1.5 cm
   C. 颅底骨折引起外耳道出血
   D. 开放性颅脑损伤，脑组织外溢
 ->E. 颅内血肿并脑疝形成

2350. 动脉导管留置时间一般不超过
 ->A. 7～10天
   B. 24小时
   C. 48小时
   D. 72小时
   E. 没有限制

2351. 不是肠系膜上动脉的直接分支的是
   A. 空、回肠动脉
 ->B. 左结肠动脉
   C. 右结肠动脉
   D. 中结肠动脉
   E. 回结肠动脉

2352. ARDS患者实施机械通气，为呼吸机相关性肺损伤发生，下列监测值符合要求的是
   A. 平台压40 cmH<sub>2</sub>O
   B. 胸内压35 cmH<sub>2</sub>O
 ->C. 潮气量7 ml/kg
   D. 平均气道压40 cmH<sub>2</sub>O
   E. 48h吸入氧浓度100%

2353. 以下有关前降钙素的描述，错误的是
   A. 是降钙素无激素活性的前肽物质
   B. 由116个氨基酸组成的糖蛋白，分子质量约13kU
   C. 感染后2小时可以检测到，12～24小时达到高峰
 ->D. 全身严重细菌感染状况下，前降钙素及降钙素均明显增高
   E. 半衰期较降钙素明显延长22～29小时

2354. 抢救溺水后肺水肿的患者，可用乙醇置于湿化瓶内给氧，乙醇浓度为
   A. 10%～20%
   B. 20%～30%
   C. 30%～40%
   D. 40%～50%
 ->E. 50%～60%

2355. 关于有创动脉血压监测，错误的说法是
   A. 正常动脉压波形分为升支、降支和重搏波
