1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
   C. 胰头癌
   D. 平滑肌肉瘤
   E. 肠套叠

820. 患者男性，24岁，发热3天后出现腰痛，尿量明显减少。超声特征：双侧肾脏明显增大，肾实质增厚，回声增高，肾锥体肿大，回声极低，肾窦受压面积缩小。本病可诊断为
   A. 肾脓肿
 ->B. 急性肾衰竭
   C. 慢性肾衰竭
   D. 肾结核
   E. 肾血肿
解析：慢性肾衰竭时肾脏会缩小，实质回声增高皮髓界限不清晰；肾脓肿和肾血肿为肾脏局灶性病变，同时伴有肾内结构的破坏；肾结核声像图复杂多变，早期无改变或仅表现为局部的均匀性/非均匀性回声减弱，重者出现多发厚壁不同大小的片状透声不良无回声区，晚期可整个肾广泛钙化，丧失功能；急性肾衰竭时肾脏明显增大，肾实质增厚，回声增高，肾锥体肿大，回声极低，肾窦受压面积缩小，同时出现多尿期及少尿期。

821. 患者中年女性，无明显不适，超声检查于右侧肾上腺区可见一范围约48×36 mm的高回声团块，回声均匀，边界清晰，CDFI：内部未见明显血流信号，最可能的诊断是
   A. 肾上腺腺癌
 ->B. 肾上腺脂肪瘤
   C. 嗜铬细胞瘤
   D. 神经纤维瘤
   E. 肾上腺腺瘤

822. 患者，男，80岁，右侧股静脉完全栓塞的表现，不正确的是
   A. 股静脉内未见血流信号
 ->B. 探头加压后股静脉管腔可压闭
   C. 股静脉内可见低回声改变
   D. 栓塞远端血管内流速减慢
   E. 栓塞处血管内径增粗

823. 患者男性，心悸、气短、发热、体重减轻就诊，实验室检查显示贫血、血沉增快、血清蛋白异常，超声心动图如下<img src="https://exam.mvwchina.com/upload/2016/12/3e7166145a9749fc98427c813896ea99.jpg "/>，心腔内的异常回声最可能是
   A. 血栓
 ->B. 黏液瘤
   C. 赘生物
   D. 横纹肌瘤
   E. 纤维瘤

824. 患者女性，61岁，绝经7年，近3个月，阴道不规则流血4次。超声检查：子宫饱满，宫腔内可见梭状、边界不规则，高低回声不均匀区，内探及动静脉血流信号，PS：27 cm/s，RI：0.39。可能的诊断是
   A. 子宫内膜息肉
   B. 子宫内膜增生过长
   C. 黏膜下肌瘤
   D. 宫腔内凝血块
 ->E. 子宫内膜癌

825. 女性，50岁。发现右乳肿物1周来诊。PE：右乳外上象限可触及一鸽蛋大小肿物，质硬，移动差，无触痛。超声检查发现右乳外上象限一低回声区，形态不规则，大小约3 cm×2 cm，边界不消，内部回声欠均，后方回声衰减。CDFI：内可见不规则穿支血流信号。右侧腋窝淋巴结肿大。最可能的诊断是
 ->A. 右乳乳腺癌
   B. 右乳纤维瘤
   C. 右乳囊肿
   D. 右乳乳腺炎
   E. 右乳脓肿
解析：乳腺癌边界不整、呈锯齿状、无包膜，内多为低回声区，分布不均，后方回声衰减，癌瘤向组织及皮肤浸润，癌瘤纵径大于横径，纵横径比＞1。内部可见点状强回声为砂粒样钙化。彩色多普勒超声现象：血流信号丰富，有新生血管及动静脉瘘，呈高速、低阻血流，RI＞0.7。

826. 女性，30岁。尿频、尿急、尿痛1年。超声声像图示右肾轻度肿大，实质结构紊乱，多个大小不等的不规则液性腔及钙化灶，部分液性腔相互通连并与扩张的肾盂沟通，液性腔及肾盂壁不规则，右输尿管全程扩张，膀胱壁弥漫性增厚、僵硬，容积明显缩小。最可能的诊断是
   A. 急性肾盂肾炎
 ->B. 肾结核
   C. 慢性肾盂肾炎
   D. 肾积水
   E. 肾囊肿

827. 患者女，52岁，有糖尿病病史，近日出现感冒症状，并出现寒战，高热，体温最高达40℃，超声检查；在肝内发现一低回声区，境界不清楚，壁厚，内部回声不均匀。彩色多普勒示血供丰富，3天后复查于低回声区内见液化区，伴有点状或斑片状高回声，并见气体强回声。彩色多普勒见内血流消失。最可能的诊断是
   A. 肝囊肿合并感染
   B. 肝癌
 ->C. 肝脓肿
   D. 肝硬化
   E. 肝血管瘤

828. 女，33岁，因月经不调就诊，超声声像图如下<img src="https://exam.mvwchina.com/upload/2016/12/7c57513a8d61429484b3773124f910c1.jpg "/>，最可能的诊断为
   A. 附件炎
 ->B. 子宫肌瘤
   C. 子宫腺肌症
   D. 子宫内膜癌
   E. 卵巢肿瘤

829. 患者男性，69岁，胃肠超声检查于胃壁探及一大小为11 cm×9 cm，形态不规则，边界不清的不均匀低回声肿块，中心部可见大片不规则液化坏死区，实性部分血流信号不明显，胃黏膜受侵，超声诊断考虑
   A. 胃息肉
 ->B. 胃平滑肌肉瘤
   C. 胃脂肪瘤
   D. 胃平滑肌瘤
   E. 胃恶性淋巴瘤

830. 女性，30岁。尿频、尿急、尿痛1年。超声声像图示右肾轻度肿大，实质结构紊乱，多个大小不等的不规则液性腔及钙化灶，部分液性腔相互通连并与扩张的肾盂沟通，液性腔及肾盂壁不规则，右输尿管全程扩张，膀胱壁弥漫性增厚、僵硬，容积明显缩小。最可能的诊断是
   A. 急性肾盂肾炎
 ->B. 肾结核
   C. 慢性肾盂肾炎
   D. 肾积水
   E. 肾囊肿

831. 患者，男性，82岁，主动脉瓣生物瓣置换术后行超声评价有效瓣口面积的计算公式是
 ->A. 每搏量/人工瓣的速度时间积分
   B. （每搏量×心率）/最大跨瓣峰值流速
   C. 瓣膜下的速度时间积分/人工瓣速度时间积分
   D. 瓣膜下的最大峰值流速/最大跨瓣峰值流速
   E. 以上都不正确

832. 男性患者，66岁，既往大量饮酒史，近一年出现进行性吞咽困难，呕吐，超声示肝左叶后下方可见23mm×19mm形态不规则的“靶环征”影像，内腔偏移，周围可见肿大淋巴结，超声诊断考虑为
 ->A. 贲门癌
   B. 胃溃疡
   C. 右肾上腺肿瘤
   D. 胰腺癌
   E. 下腔静脉癌栓

833. 女性，38岁，停经3个月余，阴道不规则出血20余天。体检：子宫体积大于停经周数，宫旁触及囊性肿块，血HCG 1280 μg/mL。根据该疾病的超声图像<img src="https://exam.mvwchina.com/upload/2016/12/0b19621606d74a5a835aaa3716e1fdfd.jpg "/>，下列诊断最准确的是
   A. 中期妊娠
   B. 早期妊娠
   C. 宫外孕
 ->D. 葡萄胎
   E. 绒癌

834. 女性，65岁。活动后疲劳、气短；听诊可于心尖部闻及全收缩期吹风样杂音。彩色多普勒检查显示收缩期左房内以蓝色为主的花彩血流，面积18.6cm<sup>2</sup>。超声诊断为
   A. 二尖瓣反流，轻度
   B. 二尖瓣反流，中度
 ->C. 二尖瓣反流，重度
   D. 三尖瓣反流，轻度
   E. 三尖瓣反流，中-重度
解析：心尖部全收缩期吹风样杂音是二尖瓣关闭不全的听诊特点；彩超检查亦提示该患为二尖瓣反流。根据反流面积，提示该患者二尖瓣反流为重度。年龄大的患者，触诊一般可出现收缩期震颤。

835. 患者，23岁，葡萄胎清宫术后1天，超声检查可见左卵巢增大，内可见一大小65 mm×59 mm边界清楚、被膜完整较薄、内有多发细光带分隔、透声良好的囊性回声，最可能的诊断是
 ->A. 卵巢黄素囊肿
   B. 卵巢黄体囊肿
   C. 卵巢皮样囊肿
   D. 卵巢滤泡囊肿
   E. 卵巢卵泡囊肿

836. 10岁小儿，曾多次患肺炎，无发绀，胸骨左缘3～4肋间Ⅲ级粗糙收缩期杂音。超声心动图显示室水平过隔血流，请指出哪一项最正确
   A. 房间隔缺损
 ->B. 室间隔缺损
   C. 动脉导管未闭
   D. 法洛四联症
   E. 肺动脉狭窄

837. 患者，男，64岁，自述间断性胸闷、气短两年余。超声综合描述：肝回声密集，右肝斜径14.5 cm，右肝静脉内径1.8 cm；中肝静脉内径1.2 cm；左肝静脉内径1.3 cm。超声提示
   A. 布加综合征
   B. 肝硬化
   C. 脂肪肝
   D. 三支肝静脉增宽
 ->E. 肝淤血

838. 男性，42岁。平时无任何不适。B超体检时发现肝内有一稍低回声团，界清，边缘呈细线状高回声，内部呈筛状。最可能的诊断是
   A. 非均匀性脂肪肝
   B. 肝癌
   C. 肝脓肿
   D. 肝囊肿
 ->E. 肝血管瘤

839. 患者女性，29岁。既往月经规律，现停经61天，下腹部隐痛，无阴道流血。超声诊断右侧输卵管间质部妊娠。下列声像图表现不可能出现的是
   A. 子宫增大，宫腔内可见不规则团状高回声
   B. 纵切面:胎囊光环极度靠近宫底部
   C. 横切面:胎囊偏于宫腔一侧
 ->D. 胎囊周围环绕完整的肌壁回声
   E. 胚胎组织已初具人形，并可见卵黄囊回声

840. 患者女性，56岁，以呼吸困难，下肢水肿就诊。超声心动图示左室长轴切面可见二尖瓣增厚，回声增强，开放受限，舒张期前叶呈气球样突向左室，最可能的诊断是
 ->A. 二尖瓣狭窄
   B. 二尖瓣关闭不全
   C. 二尖瓣脱垂
   D. 二尖瓣腱索部分断裂
   E. 二尖瓣乳头肌功能不全
解析：二尖瓣狭窄常导致右心衰竭，体征为呼吸困难，下肢水肿。二尖瓣增厚，回声增强，开放受限，舒张期前叶呈气球样突向左室是二尖瓣狭窄的二维声像图特征。

841. 患者，男性，82岁，左心室前壁ST段抬高心肌梗死病史。经胸超声心动图所示<img src="https://exam.mvwchina.com/upload/2016/12/ba6b3b4bbe1545e18f8471a366733473.jpg "/>，左心室心尖部扩大，室壁变薄，向外膨出，心尖部可见一团块影附着，下列诊断正确的是
   A. 黏液瘤
   B. 横纹肌肉瘤
 ->C. 血栓
   D. 赘生物
   E. 以上都不正确

842. 患者男性，55岁，肝区轻度不适，肝功能检查正常。超声表现右叶缩小，左叶增大，肝缘钝，肝表面不平整，肝组织呈网格状、鱼鳞状结构，肝内门静脉分支内腔狭窄，壁增厚，回声增强，细分支显示清楚，肝静脉细窄，最可能的诊断是
 ->A. 血吸虫性肝硬化
   B. 酒精性肝硬化
   C. 病毒性肝硬化
   D. 胆汁性肝硬化
   E. 淤血性肝硬化

843. 患儿女性，2岁，因活动后心悸、乏力，查体：听诊胸骨左缘第2～3肋间可闻及粗糙的Ⅳ级双期杂音，肺动脉瓣区第二音亢进、分裂。超声心动图图像如下图<img src="https://exam.mvwchina.com/upload/2016/12/ee93512d2e374c4393f3fcd521afc830.jpg "/> <img src="https://exam.mvwchina.com/upload/2016/12/466473ce7b6d4170ae592f418b348d5c.jpg "/>，可诊断为
   A. 先天性心脏病-室间隔缺损
 ->B. 先天性心脏病-动脉导管未闭
   C. 先天性心脏病-房间隔缺损
   D. 扩张型心肌病
   E. 先天性心脏病-肺动脉狭窄

844. 患者，女，50岁，心脏超声检查示心脏周围均可见液性暗区，左室后壁液性暗区间距约18 mm，右室前壁约13 mm，心尖部约16 mm，左室侧壁侧方约14 mm，诊断心包积液为
   A. 微量
   B. 少量
 ->C. 中量
   D. 大量
   E. 以上都不是

845. 患者男性，49岁，胆囊颈部侧壁见一个2.3 cm×1.5 cm的基底较宽的低回声团块，自囊壁突向腔内，表面不平整，彩色多普勒于其基底部探及少量条状搏动性血流频谱，胆囊浆膜层连续性欠佳。其最可能的诊断是
   A. 胆囊胆固醇沉着症
 ->B. 结节型胆囊癌
   C. 胆囊腺瘤
   D. 胆囊炎性息肉
   E. 胆囊腺肌增生症局限型

846. 男性，72岁。M型超声检查显示二尖瓣前叶曲线舒张期震颤、主动脉瓣活动曲线呈双线，提示诊断为
   A. 二尖瓣关闭不全并主动脉瓣狭窄
   B. 二尖瓣狭窄
 ->C. 主动脉瓣关闭不全
   D. 主动脉瓣狭窄
   E. 二尖瓣狭窄并主动脉瓣关闭不全
解析：主动脉瓣关闭不全由于主动脉瓣增厚、钙化，不能合拢，M型超声检查显示主动脉瓣活动曲线呈双线；主动脉瓣反流血流冲击二尖瓣前叶，二尖瓣前瓣或前后瓣可有舒张期震颤运动。

847. 患者女性，24岁，既往月经规律，现停经41天，阴道不规则流血5天，剧烈腹痛1天，尿妊娠试验阳性。超声检查：盆腔偏右可见79 mm×61 mm形态不规则、无明显被膜、内有少量液性回声的低回声不均匀实质性占位，未见明显血流信号，盆腹腔少量积液。子宫稍饱满，内膜稍增厚，左附件未见明显异常。根据以上表现，最可能的诊断是
 ->A. 异位妊娠破裂
   B. 黄体破裂
   C. 卵巢囊肿蒂扭转
   D. 急性阑尾炎穿孔
   E. 巧克力囊肿破裂

848. 患者，女性，19岁，月经稀少，多毛，肥胖。超声检查：子宫正常大小，双侧卵巢增大，其内可见多个无回声。血LH/FSH＞3.0，诊断可能为
 ->A. 多囊卵巢
   B. 卵巢肿瘤
   C. 垂体瘤
   D. 子宫畸形
   E. 子宫内膜炎

849. 患者男性，46岁，乙肝病史15年，超声检查示肝右叶8 cm×9 cm橢圆形肿块，边界较清，周边有晕，但不完整，内部回声不均，呈“块中块”表现，最可能的诊断是
   A. 结节型肝癌
   B. 弥漫型肝癌
   C. 肝硬化结节
 ->D. 巨块型肝癌
   E. 肝转移癌

850. 患儿男性，7岁，因活动后心悸、乏力，查体：患儿发育情况好，听诊胸骨左缘第2～3肋间可闻及收缩期杂音，肺动脉第二音亢进。超声心动图图像如下图，可诊断为<img src="https://exam.mvwchina.com/upload/Picture/e90fe3fff7ee4f3f8502bd029ba8f467.jpg "/><img src="https://exam.mvwchina.com/upload/Picture/60444dd6276c4baebda0038fda5e0f9c.jpg "/>
   A. 先天性心脏病-室间隔缺损
   B. 先天性心脏病-动脉导管未闭
 ->C. 先天性心脏病-房间隔缺损
   D. 扩张型心肌病
   E. 先天性心脏病-肺动脉狭窄

851. 男性患者，48岁，肾移植术后5天，出现少尿一天，超声检查见移植肾体积稍增大，结构清楚，集合系统及肾周未见异常回声，肾皮质血流分布稀疏，RI=0.89，其可能诊断为
   A. 肾动脉吻合口狭窄
   B. 输尿管结石
   C. 肾动脉闭塞
   D. 肾静脉拴塞
 ->E. 急性排斥反应

852. 患者男性，43岁，肝炎病史15年，近年AFP升高，超声所见：肝右叶萎缩，左叶增大，肝表面不光滑，肝实质回声增粗、增强、不均匀、肝静脉扭曲变细，肝右前叶可见一个28 mm×30 mm的低回声实性占位，边缘有弱回声晕，最可能的诊断是
   A. 肝腺瘤
 ->B. 结节型肝癌
   C. 肝囊肿
   D. 肝转移癌
   E. 胆管细胞癌

853. 某患者超声检查见肝脏及下腔静脉肝段内异常回声。超声表现如下图，诊断考虑为<br><img src="https://exam.mvwchina.com/upload/Picture/10-188-1.png"/>
   A. 艾森曼格综合征
 ->B. 布-加综合征
   C. 麦格综合征
   D. Mirizzi综合征
   E. 马方综合征
解析：声像图显示肝脏及下腔静脉内可见隔膜形成。

854. 患者女性，37岁。ECG示除aVR外，其余导联ST段弓背向下抬高，超声心动图显示左室后壁后及心尖部液性暗区，请指出以下哪项诊断最正确
   A. 缩窄性心包炎
 ->B. 急性心包炎并心包积液
   C. 冠心病
   D. 扩张型心肌病
   E. 急性心肌梗死

855. 患者男，24岁，酒醉后熟睡，右上臂受压肿胀疼痛，短时无尿，尿蛋白（＋＋＋＋）血GOT、GPT、LDH增高，超声显示肱二头肌肿大，肌纹理失常、回声增强、肌束间及肌腹外周出现粗条索状和细网状低回声，CDFI无血流信号，可诊断为
