1. 烧伤后引起气性坏疽的致病菌是
1427. 下列有关甲状腺癌的特点中，不正确的是
   A. 分为分化型和未分化型两大类
   B. 未分化癌、乳头状癌、滤泡状腺癌起源于甲状腺上皮细胞，髓样癌起源于滤泡旁细胞
   C. 早期多无症状，偶发现颈前区有一结节或肿块
 ->D. 病程中无明显压迫症状
   E. 甲状腺肿大伴有单侧声带麻痹首先要考虑本病
解析：甲状腺癌晚期易产生压迫症状，如伴有声音嘶哑，呼吸不畅，吞咽困难，或局部压痛等压迫症状，颈静脉受压时，可出现患侧静脉怒张与面部水肿等体征。特别在甲状腺肿大伴有单侧声带麻痹时，为甲状腺癌的特征之一。

1428. 下列小儿烧伤休克期的补液公式，正确的是
   A. 体重单位按照公斤计算
 ->B. 烧伤面积的计算不包括Ⅰ烧伤
   C. 计算常数是2.5
   D. 生理需要量为2500 ml
   E. 伤后第二个24小时补液量是第一个24小时总量的2/3

1429. 关于主支气管损伤的临床特点，下列选项错误的是
   A. 开放伤咳嗽咯血，伤口流出带泡沫的血性液体
   B. 闭合伤颈部皮下瘀血、青紫明显
 ->C. 未及时发现可导致颈部严重感染
   D. 严重程度取决于气管环破坏的多少
   E. 可发生皮下气肿及窒息

1430. 有关右副肝管的类型与特点，以下错误的是
 ->A. 位于右肝管的上部或与肝总管汇合
   B. 与肝总管的下部汇合
   C. 在肝总管与胆囊管的交接处汇合
   D. 后两种类型在胆囊切除时，若不加注意最容易损伤
   E. 有些副肝管的管径较细，手术时不易发现容易损伤

1431. 下列哪项不符合由胃泌素瘤引起的消化性溃疡
   A. 多发生在球后十二指肠降部和横段或空肠近端
 ->B. 常规胃手术后不易复发
   C. 易并发出血、穿孔、梗阻
   D. 基础胃酸分泌过度
   E. 常伴腹泻
解析：胃泌素瘤表现为基础胃酸分泌过多导致的相关临床症状，主要表现为消化性溃疡和腹泻。多发于十二指肠球部，易致穿孔、出血等并发症。

1432. 关于外科急腹症腹痛的性质特点，下列选项错误的是
   A. 腹痛开始部位或疼痛最显著部位，常常与病变部位一致
   B. 持续性腹痛多为炎性渗出物、空腔脏器内容物和血液刺激腹膜所致
   C. 阵发性腹痛多为空腔脏器梗阻或痉挛所致
   D. 持续性腹痛阵发性加重多为空腔脏器炎症与梗阻并存
 ->E. 外科疾病的腹痛，一般先有恶心、发热而后有腹痛

1433. 施行阑尾切除术寻找阑尾的基本方法，下列选项错误的是
   A. 用纱布垫将小肠向内上方推开，显露清楚右髂窝
   B. 找到盲肠沿结肠带向下寻找阑尾根部，找出全部阑尾
 ->C. 寻找阑尾困难时，应想到活动盲肠，立即扩大切口
   D. 沿回肠末端追踪盲肠，找到阑尾
   E. 过长的乙状结肠位于右下腹，不要误以为是盲肠

1434. 下肢深静脉血栓形成最常见于
   A. 上肢深静脉
   B. 上腔静脉
   C. 下腔静脉
   D. 门静脉
 ->E. 下肢深静脉
解析：全身主干静脉均可发生深静脉血栓形成，最常见于下肢深静脉。

1435. 什么不是胰瘘的治疗方式
   A. 手术
   B. 生长抑素治疗
 ->C. 腹腔冲洗
   D. 抗感染治疗
解析：胰瘘的治疗方式包括：支持疗法，预防和控制感染，手术。其中手术方式以胰腺切除和胰管吻合口重建等。

1436. 有关结核性腹膜炎的治疗原则，下列选项错误的是
   A. 卧床休息，营养支持
   B. 联合应用抗结核药物
   C. 因腹腔内粘连、包裹、束带压迫出现肠梗阻，按一般原则处理
 ->D. 时常出现腹痛或腹痛频繁，为预防发生肠梗阻，应行手术治疗
   E. 肠梗阻治疗数日，甚至1周以上仍不缓解，应行手术治疗

1437. 焦痂切开减张术的手术层次应达
   A. 真皮下
   B. 真皮内
   C. 表皮下
   D. 皮下脂肪层
 ->E. 深筋膜层

1438. 有关胆管癌的影像学检查，其临床应用价值，下列不正确的是
   A. B超显示扩张的胆管、梗阻的部位，发现肿块
   B. TC显示梗阻部位和管腔受累的范围
   C. ERCP可直接观察十二指肠乳头，造影能显示梗阻远端胆管
   D. CT、MRI可确定扩张的胆管，梗阻的部位，肝实质有无转移，胆囊是否肿大
 ->E. PET诊断胆管癌比上述检查更具优越性

1439. 烧伤患者出现下列哪种情况，应考虑合并吸入性损伤
   A. 烧伤面积＞80%，含头颈部
   B. 休克
 ->C. 口、鼻周围深度烧伤
   D. Ⅲ度烧伤面积达30%
   E. 全身感染出现早

1440. 关于烧伤的包扎疗法，下列不正确的是
   A. 有保暖，固定和制动肢体的作用
   B. 降低烧伤后超高代谢
 ->C. 包扎疗法适用于会阴部烧伤
   D. 可减少创面的污染
   E. 便于转运和护理

1441. 关于急性出血坏死性胰腺炎的病理改变，下列不正确的是
   A. 以胰腺实质出血、坏死为特征
   B. 胰腺分叶结构模糊，坏死灶呈灰黑色，严重者整个胰腺变黑
   C. 腹腔内皂化斑和脂肪坏死灶，腹膜后可出现广泛组织坏死
   D. 腹腔内咖啡色或暗红色浑浊渗液测淀粉酶明显升高是其特征
 ->E. 腺肿胀，充血，被膜下积液

1442. 近10年来胃肠外科的腹腔镜手术主要应用于
   A. 胃肠道良性疾病
   B. 原需开胸的转为经腹腔镜手术
   C. 胃肠重组治疗肥胖症
   D. 胃肠道恶性肿瘤的诊治
 ->E. 以上都是

1443. 中度烧伤是指
   A. 烧伤总面积＜10%以下的Ⅱ度烧伤
 ->B. 烧伤总面积在11%～30%的Ⅱ度烧伤或Ⅲ度烧伤面积＜10%
   C. Ⅲ度烧伤面积在11%～20%之间
   D. Ⅲ度烧伤面积＞50%
   E. 烧伤总面积＞80%

1444. 脾切除对下列哪种疾病疗效最佳
   A. 珠蛋白生成障碍性贫血
   B. 骨髓增生异常综合征
 ->C. 遗传性球形红细胞增多症
   D. 慢性粒细胞白血病
   E. 霍奇金淋巴瘤
解析：对于珠蛋白生成障碍性贫血，脾切除不能纠正贫血，只是有助于减轻溶血和减少输血量。对于骨髓增生异常综合征，脾切除仅适用于疼痛性脾大，脾功能亢进引起全血细胞减少和难以控制的出血，巨脾引起压迫症状或伴有门静脉高压者。对于遗传性球形红细胞增多症，脾切除具有显著的效果，脾切除术后黄疸和贫血多在短期内消失，贫血可获得完全纠正。针对慢性粒细胞白血病，脾切除不能延缓其急变期的发生和延长患者生存时间，因此，目前除有巨脾引起压迫症状或脾梗死引起脾区疼痛剧烈者，一般不主张行脾切除术。以往多采用剖腹探查术和脾切除来确定淋巴瘤的组织学类型和临床分期，指导治疗和判断预后，近年以较少应用。

1445. 下列胆道蛔虫症的手术指征，不包括
   A. 合并急性化脓性胆管炎、胆囊炎者
   B. 合并肝脓肿、胆道出血、腹膜炎、败血症、中毒性休克者
 ->C. 合并胆囊炎者
   D. 合并急性胰腺炎或胆道蛔虫与结石并存者
   E. 非手术治疗3～5天，病情恶化者

1446. 烧伤侵袭性感染是指
   A. 烧伤组织内有大量细菌
   B. 创面有脓性分泌物
   C. 伴有轻、中度发热
   D. 组织细菌含量＜10<sup>2</sup>
CFU/g
 ->E. 病原菌侵袭至痂下活组织，伴有全身中毒症状

1447. 根据大肠癌改良的Dukes分期标准，B<sub>1</sub>期是指
   A. 癌肿局限于黏膜层
   B. 癌肿穿透肌层而无淋巴结转移
 ->C. 癌肿侵入肌层而无淋巴结转移
   D. 癌肿在肠壁内而淋巴结已有转移
   E. 癌肿穿透肠壁，淋巴结有转移

1448. 关于右半结肠切除术，下列选项错误的是
   A. 适用于盲肠、升结肠及结肠肝曲部的癌肿
 ->B. 切除范围为回肠末端5～10 cm、盲肠、升结肠及横结肠的右半
   C. 肝曲的癌肿尚需切除横结肠大部及清扫胃网膜右动脉组的淋巴结
   D. 做回、结肠端端吻合或端侧吻合
   E. 清扫所属系膜及淋巴结

1449. 为迅速判明上消化道出血的部位和病因，首选的检查是
   A. 选择性腹腔动脉造影
   B. 上消化道钡餐
 ->C. 电子胃镜检查
   D. 核素检查
   E. 肠系膜上动脉造影

1450. 关于对单纯性甲状腺肿的概述，下列错误的是
   A. 病因主要为碘缺乏，甲状腺素合成及分泌障碍
 ->B. 发生发展快，癌变率高
   C. 临床表现甲状腺弥漫性肿大或结节性肿大及压迫症状
   D. X线、B超及核素显像有助诊断
   E. 实验室检查无明显甲状腺功能变化
解析：单纯性甲状腺肿多见于地方性甲状腺肿流行区，病程长，可数年或十几年。开始为双侧甲状腺弥漫性肿大，后在甲状腺内（一侧或两侧）出现单个或多个大小不等的结节，结节质韧或较软，光滑，随吞咽上下移动，生长缓慢，一般很少发生压迫症状。甲状腺功能一般正常。部分患者合并甲亢，少数可发生癌变。

1451. 有关憐烧伤的急救措施，下列错误的是
   A. 1%硫酸铜浸洗创面
   B. 以湿布覆盖创面
 ->C. 以油质敷料包扎
   D. 将受伤部位浸入水中
   E. 清除磷颗粒

1452. 下列选项中，不符合胆囊息肉样病变手术指征的是
   A. 单发病变＞10 mm，蒂粗大者或多发病变，伴胆囊结石者
   B. 肿瘤标志物（CEA）测值明显升高，除外其他胃肠道肿瘤者
   C. 胆囊息肉样病变，有明显症状且反复发作者
 ->D. 两次B超检查均提示胆囊息肉者
   E. 多普勒彩超检查有丰富血供提示为恶性新生物者

1453. 何种原因引起的Ⅱ度烧伤，通常不会出现水疱
   A. 沸水
   B. 火焰
   C. 沸油
   D. 电弧
 ->E. 强酸

1454. 当前，哪项临床检测指标能够比较准确地反映组织缺氧的情况
   A. 动脉血压
   B. 动脉血气分析
   C. 血乳酸含量
 ->D. 胃肠黏膜pH
   E. 中心静脉压

1455. 下列绞窄性疝的手术治疗措施中，不正确的是
   A. 妥善保护好切口
   B. 肠管坏死较广泛，应做肠切除肠吻合术
   C. 肠管坏死局限、小面积，可局部坏死组织切除
 ->D. 切除坏死肠管，同时行疝修补术
   E. 坏死的疝内容物为大网膜、卵巢、输卵管时，均应切除

1456. 能够明确甲状腺单发结节性质的最可靠方法是
   A. ECT
   B. 颈部X线摄片
 ->C. 细针穿刺细胞学检查
   D. 甲状腺B超扫描
   E. 颈部CT
解析：B超是甲状腺结节常用的检查指标，甲状腺细针穿刺细胞学检查是甲状腺结节术前明确诊断的金标准。

1457. 大面积烧伤，可供反复多次取刃厚皮片的供区是
   A. 小腿
   B. 大腿
   C. 背部
 ->D. 头皮
   E. 腹部

1458. 下列甲状旁腺的解剖学特点，错误的是
 ->A. 主要由大量的嗜酸性细胞和少量主细胞组成，嗜酸性细胞分泌甲状旁腺素
   B. 紧附于甲状腺两叶左右两叶背面，通常为4枚，呈卵圆形扁平形
   C. 上甲状旁腺多位于喉返神经与甲状腺下动脉交叉上方1 cm处，直径约2 cm的区域内
   D. 下甲状旁腺多位于甲状腺下、后、侧方
   E. 上甲状旁腺由甲状腺上或下动脉供血，下甲状旁腺由甲状腺下动脉供血
解析：甲状旁腺主要由大量的主细胞、少量的嗜酸性细胞和基质组成，主细胞分泌甲状旁腺素，嗜酸性细胞可能是老化的主细胞，正常情况下无分泌功能。

1459. 下列不属于甲状腺次全切除术后造成呼吸困难和窒息原因的是
   A. 切口出血
   B. 喉头水肿
 ->C. 呼吸道痰液多
   D. 气管塌陷或气管痉挛
   E. 双侧喉返神经损伤

1460. 直肠癌一般先向肠管周围及向肠壁深层浸润生长，向肠壁纵轴浸润发生较晚，浸润距离一般不超过癌肿边缘的
   A. 1～2 cm
 ->B. 2～3 cm
   C. 4～5 cm
   D. 5～6 cm
   E. 6 cm以上

1461. 慢性淋巴细胞性甲状腺炎又称为桥本病或Hashimoto（桥本）甲状腺炎，关于其临床特征，下列不正确的是
   A. 属自身免疫性疾病，多见于30～50岁女性
   B. 起病隐匿，发展缓慢，常无意发现甲状腺肿大或出现甲减时被诊断
   C. 甲状腺弥漫性对称性肿大，表面光滑或细沙粒状或大小不等结节状，质韧
 ->D. 后期FT<sub>4</sub>、T<sub>4</sub>、FT<sub>3</sub>、T<sub>3</sub>增高，TSH降低，甲状腺<sup>131</sup>I摄取率增强
   E. TMAb和TGAb阳性，呈高滴度，连续两次≥60%
解析：桥本病的甲状腺功能检查结果取决于疾病阶段，起病初期有一过性甲亢表现时，血T<sub>3</sub>、T<sub>4</sub>、FT<sub>3</sub>、FT<sub>4</sub>可增高，大部分患者早期甲状腺功能可完全正常，以后T<sub>3</sub>、T<sub>4</sub>正常，但促甲状腺激素（TSH）升高，或促甲状腺激素释放激素（TRH）兴奋试验TSH呈高反应，此时甲状腺<sup>131</sup>I摄取率也可升高，但可被T<sub>3</sub>抑制试验所抑制，此点可与Graves病鉴别

1462. 下列对深Ⅱ度烧伤的描述，正确的是
   A. 表皮、真皮深层损伤，靠创缘上皮细胞增殖向中心愈合
   B. 表皮、真皮乳头层损伤，靠残存生发层和皮肤附件上皮细胞增殖愈合
 ->C. 表皮、真皮深层损伤，靠残存皮肤附件上皮细胞增殖愈合
   D. 表皮、真皮全层及附件全部损毁，靠创缘上皮细胞增殖愈合
   E. 表皮、真皮乳头层损伤，靠创缘上皮细胞增殖向中心愈合

1463. 关于烧伤创面脓毒症的特点，以下选项错误的是
   A. 血培养多为阴性
   B. 痂下组织细菌量计数超过10<sup>5</sup>
CUF/g
   C. 创面有细菌感染，并向痂下正常组织侵入
 ->D. 不出现全身感染中毒症状
   E. 全身感染中毒症状明显

1464. 下列血栓闭塞性脉管炎的诊断要点，错误的是
 ->A. 长期生活在潮湿环境或体力劳动者
   B. 青壮年男性，吸烟史
   C. 游走性静脉炎病史
   D. 肢体有缺血表现
   E. 患肢足背或胫后动脉搏动减弱或消失

1465. 下列关于低位肠梗阻的病理生理变化，错误的是
   A. 血容量减少
   B. 体液丧失，容易引起代谢酸中毒
   C. 电解质紊乱
   D. 感染和毒素吸收，导致休克
 ->E. 大量呕吐，容易产生代谢性碱中毒

1466. 下列皮肤活力的鉴定方法，不正确的是
 ->A. 亚甲蓝染色
   B. 皮肤耗氧量法
   C. 琥珀酸脱氢酶法
   D. SYTO/EB双重染色法
   E. 四氮唑盐法

1467. 上腹部绞痛，寒战高热、黄疸。最常见于
   A. 胆道蛔虫病
   B. 胆总管囊肿
   C. 先天性胆道闭锁
   D. 急性胆囊炎
 ->E. 胆总管结石合并感染

1468. 判断血栓闭塞性脉管炎闭塞部位的准确定位检查方法是
   A. 仔细检查肢体各动脉搏动情况
   B. 彩色B超检查
   C. 核素扫描检查
   D. 交感神经阻滞试验
 ->E. 动脉造影检查
解析：动脉造影检查可观察闭塞部位、程度、范围及侧支循环建立情况。

1469. 门脉高压症非手术治疗的基本措施不包括下列选项中的
   A. 病因治疗、休息、饮食及支持疗法
   B. 经内镜注射硬化剂急症止血及预防再出血
 ->C. 完全胃肠外营养
   D. 三腔二囊管压迫止血
   E. 应用神经垂体素、生长抑素和β受体阻断药等药物

1470. 按照四度五分法，烧伤深度分为
   A. Ⅰ（浅Ⅰ、深Ⅰ）、Ⅱ度、Ⅲ度、IV度
