1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
952. 男性，21岁。因左小腿被蚊虫叮咬抓破皮肤1天后，出现畏寒，发热，局部烧灼样疼痛。查体：体温39℃。左小腿外侧延至大腿中下段明显红肿，局部皮温高，呈片状红疹，微隆起，色鲜红，压之褪色。正确的诊断是
 ->A. 丹毒
   B. 急性皮肤感染
   C. 厌氧链球菌性肌炎
   D. 坏死性筋膜炎
   E. 急性蜂窝织炎

953. 患儿男，12岁。近1个月多次突发上腹剑突下钻顶样疼痛，呻吟不止，伴恶心、呕吐。腹痛可突然自行缓解。半小时前再次出现上述症状。查体：巩膜轻度黄染，全腹软，上腹剑突下轻度深压痛，无腹部肌紧张。诊断首先要考虑
   A. 急性非结石性胆囊炎
   B. 急性化脓性胆管炎
   C. 慢性非萎缩性胃炎
 ->D. 胆道寄生虫病
   E. 慢性胆囊炎

954. 女性，26岁，体重60kg。双上肢、躯干（包括会阴部）Ⅱ度烧伤。按国内通用补液公式，伤后第一个24小时补液总量=体重（kg）×烧伤面积（%）×1.5+2000 ml。第1个24小时的补液量应为
   A. 4050 ml
   B. 2050 ml
   C. 5050 ml
 ->D. 6050 ml
   E. 9050 ml

955. 男性，50岁。临床诊断肝挫伤，经保守治疗已出院2周。今日突发上腹部剧烈绞痛，黄疸，黑便。首先应考虑的诊断是
 ->A. 胆道出血
   B. 胃癌出血
   C. 食管胃底静脉曲张破裂出血
   D. 胃十二指肠溃疡出血
   E. 应激性溃疡出血

956. 女性，33岁。甲亢术后痊愈出院，护士对她进行康复指导，下列哪项不妥
 ->A. 术后一个月恢复正常劳动
   B. 练习颈部活动
   C. 注意有无甲亢复发
   D. 注意有无甲状腺功能低下
   E. 定期复查

957. 患者男，17岁。被自行车撞伤腹部5小时，伤后腹痛逐渐加重，并出现全腹痛。查体：P 120次/分，BP 95/60 mmHg。神志清楚，痛苦面容，被迫体位。左上腹压痛、反跳痛明显，轻度肌紧张，移动性浊音（±）。腹腔穿刺（-）。在以下的处理程序中，不宜采取的是
   A. 建立静脉输液通道，禁食，胃肠减压
   B. 血、尿常规，淀粉酶检查
   C. X线腹平片、B超或CT检查
   D. 做好剖腹探查准备
 ->E. 待有检查结果后再施剖腹探查术
解析：患儿有明显的腹部外伤史，腹部疼痛是逐渐加剧，疼痛范围是逐渐扩大，腹部存在腹膜刺激症，以上均提示腹腔内存在消化道穿孔，故需要急诊手术，不要等待。

958. 男性，50岁。临床诊断十二指肠溃疡穿孔，急诊施行穿孔修补术后第6天。患者出现发热，大便次数增多，解黏液便，里急后重。查体：T38.0℃。腹胀，下腹压痛，轻度反跳痛，无肌紧张。最可能的术后并发症是
   A. 切口感染
   B. 膈下脓肿
 ->C. 盆腔脓肿
   D. 肠间隙脓肿
   E. 小网膜囊积液

959. 男性，30岁，突发上腹剧痛1小时，怀疑消化道穿孔，无休克表现，为进一步明确诊断，首选检查方法是
   A. 腹腔诊断性穿刺
 ->B. 立位腹部X线平片
   C. CT检查
   D. B超检查
   E. X线胃肠钡餐检查

960. 患者女，52岁，因腹胀不适2个月，伴低热来院门诊，体检：一般状态尚可，巩膜轻度黄染，肝肋下未及，脾肋下2指，肝功能A/G1.25，清蛋白30 g/L，追问病史，10年前曾患乙肝，病史中无呕血、黑便史，行胃镜检查示食管胃底静脉曲张，腹部B超示腹水（+）。患者存在腹水，形成的最主要原因是
 ->A. 门脉压力增高，组织液回收减少，漏入腹腔
   B. 淋巴液输出不畅，从肝表面漏入腹腔
   C. 肝功能下降，清蛋白水平低致血浆外渗
   D. 体内血管升压素增加水钠潴留
   E. 以上都不是

961. 男性，54岁。突发头痛、呕吐8小时。查体：神清，颈强直。头颅CT提示前纵裂池积血。最可能破裂的颅内动脉瘤是
 ->A. 前交通动脉瘤
   B. 大脑中动脉动脉瘤
   C. 基底动脉动脉瘤
   D. 颈内动脉动脉瘤
   E. 前床突旁动脉瘤

962. 患者女，26岁。发现右颈前部肿物2年，突然增大伴局部疼痛3天。查体：右颈前明显隆起，右甲状腺下极可触及一直径3 cm圆形包块，随吞咽上下移动，触痛。可初步诊断为
   A. 甲状腺腺瘤继发感染
   B. 甲状腺腺瘤囊性变
   C. 慢性淋巴细胞性甲状腺炎
   D. 甲状腺癌
 ->E. 甲状腺腺瘤囊内出血

963. 男性，65岁。半年前行前列腺癌根治性切除手术，术后尿液不能自控，昼夜均有打湿裤子的现象而无自主排尿。其尿失禁属于
   A. 膀胱直肠瘘
   B. 输尿管直肠瘘
   C. 压力性尿失禁
   D. 混合性尿失禁
 ->E. 真性尿失禁

964. 女性，43岁。发现左乳房肿块2周，伴乳头溢液。查体左乳头外上有一1 cm×1 cm包块，质韧，光滑，活动，腋窝无肿大淋巴结，该病人常用检查方法不包括
   A. 细胞学检查
 ->B. CT检查
   C. 近红外线扫描
   D. 钼靶照相
   E. 乳腺导管造影

965. 男性，45。上腹部不适3年。胃镜检查为胃窦癌。术中探查为胃窦癌，约4 cm×4 cm，活动，左肝外叶有一转移结节约2 cm。最恰当的手术方法是
   A. 胃、空肠吻合术
   B. 不做任何处理，关腹
   C. 姑息性胃大部切除，腹腔放置化疗药物
   D. 姑息性胃大部切除，胃网膜行动脉置管化疗
 ->E. 根治性胃大部切除，左肝外叶局部切除

966. 患者女，32岁。近半年反复出现右上腹隐痛，无恶心、呕吐。查体：皮肤、巩膜无黄染，全腹软，无压痛及肌紧张。实验室检查：大便潜血试验（-），血清总胆红素20 μmol/L。B超提示“胆总管直径0.6 cm，胆囊壁厚0.2 cm，腔内可见两个大小约0.4～0.7 cm 的中低回声团”。诊断首先考虑
   A. 慢性结石性胆囊炎
   B. 胆囊癌
   C. 胆管扩张
   D. 胆囊结石
 ->E. 胆囊息肉

967. 男性，30岁。肛门胀痛，逐渐加重，伴畏寒发热3天。查体：左侧肛周皮肤稍红，指诊发现距肛门4 cm左侧偏后有明显压痛、肿胀。首先应考虑的是哪种直肠肛管周围脓肿
   A. 骨盆间隙直肠脓肿
   B. 直肠壁内脓肿
   C. 肛门周围脓肿
 ->D. 坐骨直肠间隙脓肿
   E. 括约肌间脓肿

968. 患者，女性，23岁。产后第5天出血寒战、高热、腰痛，尿白细胞30个/HP，且伴有夜尿增多、下腹痛，肾区叩击痛（±），血压轻度升高。血象：白细胞18×10<sup>9</sup>/L。应该如何用药
   A. 先观察体温热型，查出病因后再作处理
   B. 首先用广谱抗菌药物
   C. 抗菌药物治疗时少饮水
 ->D. 抗菌药物治疗应在取尿标本送检后立即进行
   E. 暂不用抗菌药物，待细菌培养结果、药敏结果出来后再用抗菌药物

969. 男性，25岁。因腹部外伤疼痛难忍，伴恶心呕吐，提示有腹腔内脏器损伤的主要体征是
   A. 腹式呼吸减弱
 ->B. 腹膜刺激征
   C. 移动性浊音可疑
   D. 肠鸣音减弱
   E. 肝浊音界缩小

970. 女性，37岁。急性穿孔性阑尾炎术后4天出现下腹坠胀、便频、里急后重，体温复升，考虑可能是
   A. 切口感染
   B. 肠粘连
   C. 痢疾
   D. 膈下脓肿
 ->E. 盆腔脓肿

971. 患者，男性，44岁。反复发作右肾绞痛1年，2年来常于进食肉类尤其是动物内脏后，出现脚趾关节红肿疼痛。泌尿系统平片检查未发现异常。对患者应进行下列哪项检查以明确诊断
 ->A. 血尿酸化验和B超检查
   B. 反复复查泌尿系统平片
   C. 24小时尿液分析和血钙、磷、尿酸化验检查
   D. 尿常规检查和尿细菌培养
   E. 小关节摄片

972. 女性，53岁。剧烈腹痛4天，查体：体温39.8℃，右上腹可扪及肿块，触痛明显，Murphy征（+），血清胆红素50 μmol/L，血白细胞数20×10<sup>9</sup>/L，中性粒细胞0.90，最可能的诊断是
   A. 急性胰腺炎
 ->B. 胆总管结石，合并化脓性胆管炎
   C. 肝脓肿
   D. 胆道蛔虫症
   E. 急性胆囊炎

973. 男性，45岁。1个月前患“上感”，2周前出现眼睑水肿，伴低热、乏力、恶心、关节痛。1周前出现少尿，咳嗽伴痰中带血丝。血压180/115 mmHg，尿蛋白为（+++），红细胞15～20个/HP，血红蛋白89 g/L，血肌酐780 μmol/L，尿素35 mmol/L，白蛋白32 g/L。B超：左肾12.8 cm×5.2 cm×4.5 cm，右肾11.6 cm×5.0 cm×4.3 cm。最可能的诊断是
   A. 肾病综合征并特发性急性肾功能衰竭
   B. 急进性肾小球肾炎Ⅱ型
   C. 慢性肾小球肾炎急性发作
   D. 急性肾小球肾炎
 ->E. 急进性肾小球肾炎Ⅲ型

974. 男性，4岁。腹部外伤，临床诊断脾破裂。手术探查发现脾下极有一长3.0 cm，深1.0 cm的裂伤，出血不止。手术方式宜采取
   A. 脾下极切除术
   B. 脾切除术
   C. 脾动脉栓塞术
 ->D. 脾修补术
   E. 脾切除大网膜移植术

975. 患者女，50岁，体检发现右侧乳腺肿物1个月，查体右乳外上象限肿物，1.5 cm×1.5 cm，质硬，活动差，腋淋巴结未触及。应行
   A. 病灶切除术
 ->B. 乳癌根治术
   C. 局部放疗
   D. 生物治疗
   E. 化疗

976. 男性，51岁。B型超声检查发现肝占位性病变1周，查肝功能正常，下列哪项阳性最有助于诊断原发性肝癌
   A. γ-GT
   B. MRI
   C. B-US
 ->D. AFP
   E. CT

977. 患者男，40岁，主诉排便后肛门外剧烈疼痛6小时，并出现一触痛性明显的肿块，最可能的诊断是
 ->A. 内痔脱出嵌顿
   B. 直肠息肉脱出
   C. 肛周脓肿
   D. 血栓性外痔
   E. 肛裂并前哨痔

978. 男性，42岁。毕Ⅱ式胃大部切除术后2年，上腹部有烧灼痛，抗酸剂治疗无剂，有时呕吐，内含胆汁，吐后腹痛无缓解，体重减轻，胃镜下黏膜充血、水肿、易出血。最可能的诊断是
   A. 输入段综合征
   B. 输出段梗阻
 ->C. 碱性反流性胃炎
   D. 吻合口梗阻
   E. 吻合口溃疡

979. 男性，45岁。原发性肝癌手术治疗后出院。门诊复查中，哪项不是必需的检查
   A. 胸部X线片
   B. 肝脏B超
 ->C. CEA
   D. AFP
   E. 肝功能

980. 女性，27岁。近1个月来纳亢、消瘦、心悸、乏力、手抖，检查甲状腺肿大Ⅱ度伴有杂音，下列哪项对诊断有意义
   A. 血清蛋白结合碘（PBI）>8μg%
   B. 血清TSH升高
 ->C. 血清T<sub>3</sub>、L4升高
   D. 血清T<sub>3</sub>、T<sub>4</sub>降低
   E. 血清TSH降低

981. 患者男，35岁。右上腹撞击伤后腹痛，放射痛，伴恶心、呕吐1小时。查体：P 120次/分，BP 70/45 mmHg。诉口渴，面色苍白，烦躁不安，意识淡漠，出冷汗，四肢凉。腹胀，腹式呼吸消失，全腹压痛，肌紧张及反跳痛，肝区叩击痛明显，肠鸣音减弱。实验室检查：RBC 2.5×10<sup>9</sup>/L， WBC 16×10<sup>9</sup>/L， N 89%。Hb 60 g/L， HCT 29%。诊断首先考虑
   A. 十二指肠损伤
 ->B. 肝破裂
   C. 脾破裂
   D. 胰腺损伤
   E. 小肠损伤

982. 女性生殖系统最常见的恶性肿瘤是
   A. 卵巢浆液性囊腺瘤
   B. 子宫内膜癌
 ->C. 宫颈癌
   D. 卵巢黏液性囊腺癌
   E. 卵巢转移瘤

983. 男性，72岁。因皮肤、巩膜黄染进行性加重伴消瘦、乏力2个月入院。入院后，患者时有寒战、发热表现。在诊疗计划中，下列哪项检查不重要
   A. CT
   B. 肝功能检查
   C. B超
 ->D. ERCP
   E. DSA

984. 男性，43岁。有胃痛病史10年。上消化道造影检查发现胃窦部2.0 cm龛影，治疗方法应为
   A. 迷走神经切断术
 ->B. 胃大部切除术
   C. 口服西咪替丁
   D. 溴甲阿托品治疗
   E. 以上都不正确

985. 男性，46岁。既往无胃病史，半年来自觉乏力，食欲减退，间断出现黑便，无呕血，体重下降约10kg。查体：上腹部膨隆，轻压痛，肝、脾未触及，移动性浊音（-），大便潜血（+）。此患者首先怀疑诊断为
   A. 慢性萎缩性胃炎
 ->B. 胃癌
   C. 食管静脉曲张破裂出血
   D. 应激性溃疡出血
   E. 消化性溃疡出血

986. 患者男，62岁。2个月前发现皮肤发黄并逐渐加深，近1个月出现上腹胀痛，偶伴恶心、呕吐，自感体重明显下降。查体：全身皮肤、巩膜黄染，Courvoisier征阳性，腹部移动性浊音阳性。实验室检查：大便潜血试验（+）。诊断首先考虑
 ->A. 下段胆管癌
   B. 胆囊癌
   C. 肝门部胆管癌
   D. 中段胆管癌
   E. 胆总管结石

987. 患者男，43岁，主诉突发右上腹剧痛并阵发性加剧3天，伴有寒战高热，恶心呕吐。查体：全身黄染，体温39℃，脉搏120次/分，血压80/60 mmHg，谵妄，神志不清，剑突偏左腹肌紧张，肝肋下2 cm，WBC15×10<sup>9</sup>/L，中性粒细胞80%，血清总胆红素50 μmol/L，本例治疗首选
   A. 抗休克，抗感染治疗
   B. 胆囊切除，腹腔引流术
   C. 胆囊造口术
 ->D. 胆总管减压引流
   E. 溃疡病穿孔缝合

988. 男性，53岁。无痛性黄疸2个月余，手术时发现肝脏胀大、胆囊肿大、壁厚，胆总管粗如拇指，胰头部可触及直径3 cm的硬肿块，能推动。下列哪种手术适合该患者
   A. 胰头切除术
   B. 全胰腺切除术
 ->C. 胰十二指肠切除术
   D. 胆囊空肠吻合术
   E. 全胰十二指肠切除术

989. 男性，54岁。无痛性黄疸2月余。临床初步诊断胰头癌，手术探查发现肝大，胆囊肿大，壁厚，胆总管粗如拇指，胰头部可触及一直径3 cm的质硬肿块，尚能推动。根据患者情况，手术宜采取
   A. 胰头切除术
   B. 全胰腺切除术
 ->C. 胰十二指肠切除术
   D. 胆囊空肠吻合术
   E. 全胰十二指肠切除术

990. 男性，20岁。右下睑睑腺炎感染破溃，自行愈合后导致右下睑轻度外翻，1年后症状未见好转。临床诊断为
   A. 先天性睑外翻
   B. 痉挛性睑外翻
   C. 老年性睑外翻
   D. 麻痹性睑外翻
 ->E. 瘢痕性睑外翻

991. 患者，男性，52岁。左输尿管上段结石伴肾积水5个月余，结石大小1.8em×0.8 cm，左肾区痛伴发热一周。T：39℃，血常规：白细胞14×10<sup>9</sup>/L，中性粒细胞92%，尿常规：红、白细胞满视野。经抗炎等药物治疗无效时，采取下列哪种措施是最正确的
 ->A. 抗炎同时，立即输尿管切开取石+肾造瘘
   B. 膀胱镜下逆行插管引流
   C. 中西医结合总攻排石
   D. 体外冲击波碎石术
   E. 继续保守治疗

992. 男性，26岁。左侧阴囊内肿块半年，时有挤压痛，无发热，不影响活动。查体：左侧阴囊肿大，睾丸上方有一鹅蛋样大小囊性肿块，挤压不变小，睾丸可触及，大小正常，透光试验阳性。正确的诊断是
   A. 睾丸鞘膜积液
 ->B. 精索鞘膜积液
   C. 交通性鞘膜积液
   D. 左侧腹股沟斜疝
   E. 婴儿腹型鞘膜积液

993. 女性，40岁。右乳房内肿块4 cm×3 cm，皮肤略回缩；基底不固定，右腋下2.5 cm×1.5 cm活动的淋巴结2个，质硬，病理证实为乳癌淋巴结转移。按国际标准，应属于
 ->A. T<sub>2</sub>、N<sub>1</sub>、M<sub>0</sub>
   B. T<sub>3</sub>、N<sub>3</sub>、M<sub>0</sub>
   C. T<sub>1</sub>、N<sub>1</sub>、M<sub>0</sub>
   D. T<sub>3</sub>、N<sub>1</sub>、M<sub>0</sub>
   E. T<sub>3</sub>、N<sub>2</sub>、M<sub>0</sub>

994. 患者，男性，30岁。右肾结石，行ESWL治疗，排出碎石颗粒成分分析为磷酸镁铵结石。为预防结石复发采取的措施哪一项是错误的
   A. 抗感染治疗
 ->B. 碱化尿液
   C. 酸化尿液
   D. 限制食物中磷酸的摄入
   E. 口服氯化铵

995. 患者男，16岁，突发腹痛1天，腹痛初位于剑突下，后转至脐周，最后固定于右下腹。查体：体温37℃，腹软，右下腹压痛，未触及包块，血白细胞8.8×10<sup>9</sup>/L。给出初步诊断
   A. 急性化脓性阑尾炎
 ->B. 急性单纯性阑尾炎
   C. 急性坏疽性阑尾炎
   D. 阑尾周围脓肿形成
   E. 溃疡病穿孔

996. 男性，70岁。进行性排尿困难5年余，现表现为尿频、尿等待、排尿不能成线，经常伴有尿液不能控制而打湿裤子的现象。直肠指诊提示前列腺略有增大，中间沟变浅。此种尿失禁为
   A. 真性尿失禁
   B. 急迫性尿失禁
   C. 压力性尿失禁
 ->D. 充溢性尿失禁
   E. 以上都不是

997. 患者男，29岁。临床诊断：吸入性损伤。支气管镜检查：会厌、声门黏膜充血水肿并有坏死斑，隆突处黏膜充血水肿，隆突以下未见明显异常。其吸入性损伤的程度为
