1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 子宫颈锥切
   B. 子宫颈切除
   C. 预防性应用抗生素
   D. 微波治疗
 ->E. 定期随访

767. 刘某，40岁女性，月经不规律2个月，月经第三天检查性激素，下面哪项检查结果提示患者已经进入绝经过渡期
   A. E2：25 pg/ml，FSH：8.1 IU/L
   B. E2：45 pg/ml，FSH：7.2 IU/L
 ->C. E2：33 pg/ml，FSH：18 IU/L
   D. E2：31 pg/ml，FSH：7.8 IU/L
   E. E2：50 pg/ml，FSH：9.5 IU/L

768. 孕妇，28岁，现孕29周，近1月出现反复咳嗽，伴低热、乏力、盗汗，体重不增。胎心胎动正常。胎儿B超：如孕周，结构未见异常。患者咨询对胎儿的处理，应建议患者
   A. 立即剖宫产终止妊娠
 ->B. 继续妊娠
   C. 立即利凡诺引产
   D. 立即缩宫素引产
   E. 立即行产前诊断了解宫内感染情况

769. 女性，34岁，因肺炎入院治疗，应用抗生素12日，自觉外阴瘙痒，分泌物增多，应首先考虑
   A. 前庭大腺炎
   B. 细菌性阴道病
   C. 滴虫阴道炎
   D. 非特异性外阴炎
 ->E. 外阴阴道假丝酵母菌病

770. 孕38周，诊断为胎盘早剥行剖宫产术，术中见子宫色紫，质软，胎儿胎盘娩出后，大量出血，注射宫缩剂并按摩子宫、补充凝血因子，但仍出血不止，血压下降，应立即给予
 ->A. 子宫切除
   B. 继续按摩子宫加热敷
   C. 止血药物
   D. 宫腔填塞
   E. 输血，等待血压上升
解析：胎盘早剥若子宫不收缩、或有严重的子宫胎盘卒中而出血无法控制时，可在输入新鲜血、冰冻血浆及凝血因子的同时行子宫次全切除或子宫全切术。

771. 女性，24岁，孕32周，常规产前检查，血清抗HIV抗体阳性，对于此患者处理不恰当的是
   A. 在孕38周后及胎膜未破前选择性剖宫产能明显降低HIV母婴间的传播率
   B. 齐多夫定100 mg，每日5次口服，临产后可改为静脉点滴直至分娩
   C. 新生儿出生后8小时开始口服齐多夫定
   D. 产后新生儿人工喂养
 ->E. 新生儿立即接种卡介苗
解析：卡介苗是一种减毒的活菌疫苗，艾滋病病毒感染的婴儿由于免疫力下降，可能不能控制这种减毒的活菌在体内的繁殖，造成婴儿发生感染，所以暂不接种卡介苗直至检查未感染HIV后。

772. 孕妇，28岁， G<sub>1</sub>P<sub>0</sub>，38周妊娠，今天上午行走时不慎被路人撞击腹部后即感腹胀、腹痛，并有多量暗红色阴道流血。检查：子宫张力高，压痛不明显，胎头先露，胎心率124次/分。采用B型超声检查时应注意
 ->A. 胎盘早剥
   B. 前置胎盘
   C. 子宫破裂
   D. 凝血功能障碍
   E. 先兆早产

773. 女性，14岁。月经周期紊乱，经期长短不一已有4月余。肛门检查：子宫正常大小，双侧附件（-）。最可能的诊断是
   A. 黄体功能不全
   B. 黄体萎缩不全
 ->C. 无排卵型功能失调性子宫出血
   D. 子宫内膜息肉
   E. 黏膜下子宫肌瘤

774. 某女，16岁初潮，经量极少，婚后2年未孕，妇检子宫较正常小，极度后屈，为明确诊断，首选哪项检查最有意义
   A. 盆腔CT
 ->B. 盆腔B超
   C. E2、P
   D. FSH、LH
   E. 染色体

775. 女性，24岁。无月经来潮，染色体核型是46，XY，最可能的诊断是
   A. 女性假两性畸形
 ->B. 男性假两性畸形
   C. 单独型生殖腺发育不全
   D. 真两性畸形
   E. 先天性无子宫

776. 25岁孕妇，孕20周，诊断妊娠合并ITP，下列诊断依据不恰当的是
   A. 皮肤黏膜出血和贫血
 ->B. 脾明显增大
   C. 血小板＜100×10<sup>9</sup>/L
   D. 骨髓检查巨核细胞正常或增多
   E. 抗血小板抗体为阳性

777. 初产妇，28岁，足月妊娠，破膜后宫缩过强，不久突然出现烦躁不安、呛咳、呼吸困难、发绀，并出现休克。最可能的诊断是
 ->A. 羊水栓塞
   B. 妊娠合并心脏病
   C. 子痫
   D. 胎盘早剥
   E. 子宫破裂

778. 孕妇，28岁，G<sub>3</sub>P<sub>0</sub>，30周妊娠，曾有2次人工流产史。因中量阴道流血6 h急诊入院。检查：一般情况好，血压15.96/10.64 kpa（120/80 mmHg）。无宫缩，胎头浮，胎心率140次/分。 尿蛋白（一）。该孕妇最可能的诊断是
   A. 胎盘早剥
 ->B. 前置胎盘
   C. 子宫破裂
   D. 凝血功能障碍
   E. 宫颈息肉

779. 孕妇，28岁，现孕29周，近1月出现反复咳嗽，伴低热、乏力、盗汗，体重不增。胎心胎动正常。胎儿B超：如孕周，结构未见异常。患者咨询对胎儿的处理，哪一种抗结核药物不宜使用
 ->A. 链霉素
   B. 异烟肼
   C. 利福平
   D. 乙胺丁醇
   E. 抗生素

780. 女，27岁，人工流产后5日出现发热，体温38℃。查体：外阴（-），阴道内少许血性分泌物，宫颈充血，子宫正常大，压痛明显。双侧附件区未触及明显增厚，无压痛。本病应首先考虑为
   A. 盆腔腹膜炎
   B. 不全流产
   C. 输卵管卵巢炎
 ->D. 子宫内膜炎及子宫肌炎
   E. 吸宫不全

781. 女性，30岁，原发不孕3年，月经不规律，周期25～60天，量中等，无痛经，妇查未发现特殊症状。进一步检查应首选
   A. 输卵管通液
 ->B. B型超声
   C. 性交后试验
   D. X线腹部平片
   E. 经前或见红12小时内诊刮病理检查
解析：月经不规律，首先检查排卵功能。

782. 61岁，外阴瘙痒2年，近期加重。查体右侧大小阴唇皮肤色素脱失，可触及直径2.5 cm结节。右侧腹股沟可及黄豆大小质硬固定结节2个，该处活检报告为鳞状细胞癌。治疗方法应是
   A. 外阴广泛切除及右侧淋巴结清扫术
   B. 右侧外阴切除及右侧腹股沟淋巴结清扫术
   C. 较广泛切除局部病灶及双侧腹股沟淋巴结清扫术
   D. 外阴广泛切除及双侧腹股沟淋巴结清扫术
 ->E. 外阴广泛切除及双侧腹股沟淋巴结清扫术，备盆腔淋巴结清扫术
解析：腹股沟淋巴结阳性，考虑外阴癌Ⅲ期，可行外阴广泛切除及双侧腹股沟淋巴结清扫术，腹股沟深淋巴结阳性者加扫盆腔淋巴结。

783. 女性，25岁，有性生活史，停经8周，阴道少量流血5日。子宫如妊娠3个月大，软，双附件区各有5cm×5cm×3cm囊性肿物，本例应首先考虑
   A. 早孕合并卵巢囊肿
 ->B. 葡萄胎
   C. 难免流产
   D. 先兆流产
   E. 先兆流产合并卵巢囊肿

784. 妊娠36周，突然发生剧烈腹痛，面色苍白，血压降至80/60 mmHg，脉弱，腹部检查子宫硬如板状，有压痛，胎位触不清，胎心听不清，确诊为重型胎盘早期剥离。宫口开大1 cm，本病例最恰当的处理是
 ->A. 输液、输血、尽快剖宫产
   B. 静脉滴注缩宫素
   C. 人工破膜后静脉滴注缩宫素
   D. 人工破膜后头皮钳牵引
   E. 人工破膜减张后，观察
解析：一旦确诊重型胎盘早剥，应及时终止妊娠。

785. 32岁女性，因分泌物增多伴外阴瘙痒2周来诊，有假丝酵母菌性阴道炎病史，查外阴潮红，阴道黏膜充血，分泌物为灰黄色，泡沫状，有味，宫颈光滑。以下处理哪项不正确
   A. 阴道分泌物查找假丝酵母菌
   B. 阴道分泌物查找滴虫
   C. 做阴道清洁度检查
 ->D. 用1%苏打水冲洗阴道
   E. 可服用甲硝唑治疗

786. 某女性，体检时查出垂体微腺瘤。无明显症状，如何治疗
   A. 药物治疗
 ->B. 不需治疗
   C. 手术治疗
   D. 放射治疗
   E. 中药治疗

787. 20岁初产妇，因“停经34周，皮肤瘙痒2周”就诊，患者已于皮肤科就诊排除皮肤疾病，查体：巩膜轻度黄染，全身有抓痕、无皮疹。实验室检查，血清转氨酶（AST和ALT）轻度升高，总胆汁酸32 μmol/L，考虑治疗首选的药物是
 ->A. 熊去氧胆酸（UDCA）
   B. S-腺苷蛋氨酸（SAMe）
   C. UDCA+SAMe
   D. 多烯磷脂酰胆碱
   E. 地塞米松

788. 岁经产妇，妊娠40周，胎头娩出后发现娩肩困难，首选的助产方法是
 ->A. McRoberts法
   B. Woods法
   C. Rubin法
   D. 牵后臂法
   E. 剖宫产

789. 经产妇，35岁，孕39周头位，3年前曾行剖宫产分娩一女婴，今日出现规律宫缩，孕妇及其家属均要求阴道试产，在试产过程中出现剧烈腹痛，阴道大量流血，量约500 ml，腹部可见病理性缩复环，胎心音下降，恰当的处理是
   A. 观察病情变化
   B. 立即行阴道检查明确诊断
   C. 立即行缩宫素催产，宫口全开后经阴道助产
   D. 立即缩宫素催产，观察病情变化
 ->E. 立即行剖宫产术

790. 27岁女性，孕前有ITP病史，未规律治疗，停经9周，B超提示宫内早孕，ITP对妊娠的影响下列哪项不正确
 ->A. 主要影响是引起早产
   B. 自然流产和母婴死亡率高
   C. 阴道壁血肿
   D. 产道裂伤出血
   E. 颅内出血

791. 女性，18岁，无月经来潮，近2年出现进行性加重的周期性下腹痛。妇科查体见阴毛女性分布，大、小阴唇发育好，未见阴道外口，处女膜向外膨隆。三合诊：阴道内有球状包块向直肠前壁凸出，阴道包块上方可及另一较小包块，压痛明显，可扪及正常大小卵巢。患者最可能的诊断是
   A. 青春期延迟
   B. 先天性无阴道
   C. 阴道闭锁
 ->D. 处女膜闭锁
   E. 月经失调
解析：阴道闭锁和处女膜闭锁临床症状相似，均可表现为青春期无月经来潮，进行性加重的周期性下腹痛。阴道闭锁时，闭锁段多位于阴道下段，长约2～3 cm，其上多为正常阴道，妇科检查时亦无阴道开口，但闭锁处黏膜表面色泽正常，亦不向外膨隆，肛诊可扪及向直肠凸出的阴道积血包块，其位置较处女膜闭锁者为高。

792. 孕妇30周妊娠，产前检查一切正常，以下方法不能作为预测其早产发生的是
   A. 高危评分法
 ->B. 羊水L/S
   C. B超检查
   D. 胎儿纤维连接蛋白
   E. 胰岛素样生长因子结合蛋白-1
解析：胎心监护描记胎心率基线的变化和胎心率与胎动、宫缩的关系，以估计胎儿的安危状况。B超检查宫颈管的长度和宫颈内口形状可以预测早产的发生。羊水L/S是胎肺成熟度的方法。

793. 女性，30岁，月经规律，未避孕1年不孕，3年前药物流产一次，因不全流产清宫术，术后出现高热、腹痛，抗生素治疗后好转，男方精液正常，首要的检查是
   A. 腹腔镜检查
   B. 宫腔镜检查
   C. 宫腔镜、腹腔镜联合检查
 ->D. 子宫输卵管造影检查
   E. 结核菌素试验
解析：清宫术后盆腔感染常引起输卵管性不孕。

794. 女性，25岁，妊娠38周，因车祸不幸腰部骨折，出现腰5节段以下部位截瘫，但只能保守治疗，下列叙述错误的是
   A. 外伤易导致胎盘早剥和早产
   B. 外伤易导致子宫破裂
   C. 截瘫可导致大小便失禁
   D. 子宫平滑肌仍有自律性
 ->E. 无法实现自然分娩
解析：子宫平滑肌具有自律性，完全切除其神经仍能节律性收缩，故即使截瘫，也可能自然分娩。

795. 25岁初产妇，妊娠40周，不规律宫缩8 h，宫缩间隔4～5 min，持续40～50 s，胎心136次/分，右枕前位，估计胎儿体重3500 g，S=-1，宫口开大2 cm，骨盆外测量提示均小骨盆。对于本孕妇正确的处理措施是
 ->A. 立即行剖宫产术
   B. 肌注派替啶
   C. 静滴缩宫素
   D. 暂不处理，继续观察
   E. 静滴葡萄糖液

796. 24岁，G<sub>2</sub>P<sub>1</sub>，孕30周，阴道流血3天，增多2小时，急诊入院，查血压90/60 mmHg，脉率112次/分，宫底剑突下三横指，臀先露，LSA，胎心136次/分，有规则宫缩。为进一步确诊，首选下列哪项检查
   A. 肛查
   B. 阴道检查
 ->C. B型超声检查
   D. 颈管内指诊
   E. 腹部平片
解析：考虑前置胎盘，B型超声检查可清楚显示子宫壁、胎先露部、胎盘和宫颈的位置，明确前置胎盘的类型，前置胎盘一般不做阴道检查及肛诊。

797. 女性，35岁。结婚3年未孕，以往月经规则。现停经50天，有早孕反应，近5天来阴道少量出血，下腹隐痛。妇检：阴道少量血迹，宫口闭，子宫中位，大小正常，右附件区一包块，3cm×4cm大小，有压痛，左附件阴性，下列哪项处理错误
   A. 尿HCG试验
   B. 腹腔镜检查
   C. B超
   D. 基础体温测定
 ->E. 诊断性刮宫术

798. 28岁已婚妇女，阴道分泌物增多，伴外阴瘙痒1周。妇科检查见阴道后穹隆有多量稀薄黄绿色泡沫状分泌物，阴道黏膜多处散在红色斑点，宫颈光滑。临床诊断为
   A. 外阴阴道假丝酵母菌
   B. 细菌性阴道病
 ->C. 滴虫阴道炎
   D. 宫颈炎症
   E. 萎缩性阴道炎

799. 经产妇，29岁，G<sub>2</sub>P<sub>1</sub>，2年前曾因“胎儿窘迫”行剖宫产分娩一男婴。目前孕妇孕37周，孕期未规律产检，今晨患者出现无痛性阴道流血，量约30 ml，应立即行下列哪项辅助检查
   A. 胎儿电子监测
 ->B. B超检查
   C. CT
   D. MRI
   E. 不需行辅助检查，继续观察病情变化

800. 已婚女性，停经56天，恶心、呕吐、不能进食8天就诊，其辅助检查结果不正确的是
   A. 尿比重增加
   B. 血红蛋白及血细胞比容升高
 ->C. 血钾升高
   D. 二氧化碳结合力下降
   E. 转氨酶升高
解析：呕吐造成钾的丢失，不能进食切断了钾的摄入，所以血钾下降。

801. 初孕妇，妊娠34周，突然阴道大量流血，无腹痛。检查：胎位LOA，胎心率正常，宫壁松软，胎头高浮，应考虑下列哪项可能
   A. 阴道静脉曲张破裂
   B. 胎盘早期剥离
 ->C. 前置胎盘
   D. 子宫破裂
   E. 阴道外伤
解析：前置胎盘典型症状妊娠晚期或临产时，突然发生无诱因无痛性反复阴道流血。

802. 孕妇，25岁，G<sub>3</sub>P<sub>1</sub>，39<sup>+2</sup>周妊娠，胎儿估计3800 g，LOA，胎头高浮，胎心125～140次/分，骶耻外径＜18 cm，对角径＜11 cm，最适合的分娩方式为
   A. 经阴试产
   B. 产钳助产
   C. 水囊引产
 ->D. 剖宫产
   E. 缩宫素引产
解析：骶耻外径＜18 cm，对角径＜11.5 cm为扁平骨盆，入口平面狭窄，胎头不能衔接，剖宫产结束分娩。

803. 患者，现孕37周，为乙肝携带者，3天前出现皮肤黏膜黄染，纳差，恶心呕吐，门诊考虑重症肝炎入院。下列说法正确的是
   A. 避免母婴传播不采用母乳喂养
   B. 新生儿应用乙肝疫苗可有效避免母婴传播
 ->C. 出生12月后查HBsAg阳性，提示新生儿感染
   D. 新生儿应用HBIG可有效避免母婴传播
   E. 剖宫产可以减少胎儿感染乙肝的几率

804. 17岁女性，月经来潮3年，月经量正常，色红、伴少量血块，近2年出现经期腹痛，呈下腹部痉挛性疼痛，伴头晕、恶心、腹泻、腰酸，经后疼痛缓解。查体：腹平软，无压痛、反跳痛，Murphy′s征阴性，未触及包块，无移动性浊音，肠鸣音正常。盆腹腔B超：未见明显异常。临床诊断最可能是
   A. 阑尾炎
   B. 慢性肠炎
 ->C. 原发性痛经
   D. 子宫内膜异位症
   E. 盆腔炎

805. 孕妇，33岁，G<sub>1</sub>P<sub>0</sub>，41周妊娠，产前检查均正常。自觉胎动减少1 d收入院。检查：血压14.63/9.31 kPa（110/70 mmHg），子宫底高度35 cm，腹围100 cm，胎方位LOA，胎头先露、高浮，胎心率120次/分。以下哪项并不提示胎儿窘迫
